country,Population2000,Population2010,Population2020,Population2030,UrbanPopulation_10YearLag2000,UrbanPopulation_10YearLag2010,UrbanPopulation_10YearLag2020,UrbanPopulation_10YearLag2030,UrbanPopulation_20YearLag2000,UrbanPopulation_20YearLag2010,UrbanPopulation_20YearLag2020,UrbanPopulation_20YearLag2030,UrbanPopulation2000,UrbanPopulation2010,UrbanPopulation2020,UrbanPopulation2030
Iran  (Islamic Republic of),79115833,90882951,105176021,111966707,3556750,4552784,3074690,1312211,8690393,9191305,8885181,4433772,57926323,68564038,81698871,87164219
Sri Lanka,18875959,20778896,21837318,22304017,765039,929193,775468,300197,1942172,1580033,1534473,960960,8096362,9257147,9723875,10073697
Bhutan,723007,857967,934596,984023,38515,18364,20512,42334,47978,71268,39602,63154,218557,274039,280418,280274
Bangladesh,141072087,162058534,182782737,201329034,8665598,9531526,12661293,12294954,18544060,18830712,22965687,25688462,76169622,94116825,112476934,134448352
Afghanistan,23755401,34231732,47316798,61092584,3399671,3192048,4659915,4063225,3112414,6878606,8326605,9333588,13735834,21183709,32273966,45229174
Oman,2488839,3103543,4856708,5443927,74647,184772,641254,311832,511886,235511,852997,1023124,1178554,1527795,2932852,3566062
Kuwait,2188912,3331447,4929024,5162893,105293,124064,69070,25483,103117,275935,231664,97527,1958941,3091096,4596247,4807384
Lebanon,4864066,5620774,6385224,5316541,293250,262381,322253,92203,692753,535847,585968,229279,3031426,3608289,4167328,3224680
Qatar,707069,1881912,3040219,3146875,96530,218078,269345,25233,137659,453228,599141,282289,551728,1596873,2665465,2741714
Saudi Arabia,23395306,31963252,39147230,44041823,1882339,1886977,1885579,543811,4428271,4516953,4351552,2536862,16922296,24230472,30427406,34266081
Turkey,80745877,92258202,106119193,112137934,4246617,3094998,2884343,1402891,7153927,9010081,6995268,4437960,56231386,67930359,80433235,84525042
Yemen,19169026,25439612,33172617,40993951,1352026,1428028,2176111,1708253,2986895,3024363,3934783,4152905,12665975,17837811,24567403,31494994
Iraq,29576205,37573510,51180635,63559803,1793269,2588209,1880869,1363862,3266850,5224035,5816891,3561755,20552662,28165137,40232932,50881899
Jordan,5958224,8165763,12883487,14070655,618804,504649,522750,210762,1142104,1334116,1320601,783702,4566660,6604038,11054042,12126808
Syrian Arab Republic,19668175,26985463,25108577,36076993,1349855,1497257,297345,1887884,2447738,3353291,1462878,2005410,12578153,19074496,17181559,26181549
Israel,7049143,8450284,10112928,11707822,580486,368443,234312,175258,837391,1043445,737481,453213,5802053,7063068,8605654,10047067
Georgia,5728289,5150876,5054364,4908762,81322,47633,67153,36100,102677,95402,99309,93650,3122439,2843943,2779739,2742340
Cyprus,1157071,1378773,1510316,1599490,75596,77025,51321,23572,93393,166142,135258,78051,658397,800048,916811,984146
Bahrain,622161,1047756,1143865,1171415,62471,36775,23927,4293,120843,138806,36853,26756,569140,981800,1071816,1109613
Azerbaijan,10680265,12034164,13393537,13947609,496292,726922,420818,150471,878071,1317371,1341864,584280,6715945,7835823,9022411,9523488
